date,country,new_cases_100k,new_cases,new_deaths,new_deaths_100k,total_cases,total_deaths,cfr%,total_cases_100k,total_deaths_100k,%infected,population,pop_density_km2
2020-07-31,Seychelles,0.0,0,0,0.0,114,0,0.0,116.63,0.0,0.12,97741,212.48
2020-07-30,Seychelles,0.0,0,0,0.0,114,0,0.0,116.63,0.0,0.12,97741,212.48
2020-07-29,Seychelles,0.0,0,0,0.0,114,0,0.0,116.63,0.0,0.12,97741,212.48
2020-07-28,Seychelles,0.0,0,0,0.0,114,0,0.0,116.63,0.0,0.12,97741,212.48
2020-07-27,Seychelles,0.0,0,0,0.0,114,0,0.0,116.63,0.0,0.12,97741,212.48
2020-07-26,Seychelles,0.0,0,0,0.0,114,0,0.0,116.63,0.0,0.12,97741,212.48
2020-07-25,Seychelles,6.14,6,0,0.0,114,0,0.0,116.63,0.0,0.12,97741,212.48
2020-07-24,Seychelles,0.0,0,0,0.0,108,0,0.0,110.5,0.0,0.11,97741,212.48
2020-07-23,Seychelles,0.0,0,0,0.0,108,0,0.0,110.5,0.0,0.11,97741,212.48
2020-07-22,Seychelles,0.0,0,0,0.0,108,0,0.0,110.5,0.0,0.11,97741,212.48
2020-07-21,Seychelles,0.0,0,0,0.0,108,0,0.0,110.5,0.0,0.11,97741,212.48
2020-07-20,Seychelles,0.0,0,0,0.0,108,0,0.0,110.5,0.0,0.11,97741,212.48
2020-07-19,Seychelles,0.0,0,0,0.0,108,0,0.0,110.5,0.0,0.11,97741,212.48
2020-07-18,Seychelles,0.0,0,0,0.0,108,0,0.0,110.5,0.0,0.11,97741,212.48
2020-07-17,Seychelles,0.0,0,0,0.0,108,0,0.0,110.5,0.0,0.11,97741,212.48
2020-07-16,Seychelles,8.18,8,0,0.0,108,0,0.0,110.5,0.0,0.11,97741,212.48
2020-07-15,Seychelles,0.0,0,0,0.0,100,0,0.0,102.31,0.0,0.1,97741,212.48
2020-07-14,Seychelles,0.0,0,0,0.0,100,0,0.0,102.31,0.0,0.1,97741,212.48
2020-07-13,Seychelles,0.0,0,0,0.0,100,0,0.0,102.31,0.0,0.1,97741,212.48
2020-07-12,Seychelles,0.0,0,0,0.0,100,0,0.0,102.31,0.0,0.1,97741,212.48
2020-07-11,Seychelles,0.0,0,0,0.0,100,0,0.0,102.31,0.0,0.1,97741,212.48
2020-07-10,Seychelles,6.14,6,0,0.0,100,0,0.0,102.31,0.0,0.1,97741,212.48
2020-07-09,Seychelles,3.07,3,0,0.0,94,0,0.0,96.17,0.0,0.1,97741,212.48
2020-07-08,Seychelles,10.23,10,0,0.0,91,0,0.0,93.1,0.0,0.09,97741,212.48
2020-07-07,Seychelles,0.0,0,0,0.0,81,0,0.0,82.87,0.0,0.08,97741,212.48
2020-07-06,Seychelles,0.0,0,0,0.0,81,0,0.0,82.87,0.0,0.08,97741,212.48
2020-07-05,Seychelles,0.0,0,0,0.0,81,0,0.0,82.87,0.0,0.08,97741,212.48
2020-07-04,Seychelles,0.0,0,0,0.0,81,0,0.0,82.87,0.0,0.08,97741,212.48
2020-07-03,Seychelles,0.0,0,0,0.0,81,0,0.0,82.87,0.0,0.08,97741,212.48
2020-07-02,Seychelles,0.0,0,0,0.0,81,0,0.0,82.87,0.0,0.08,97741,212.48
2020-07-01,Seychelles,0.0,0,0,0.0,81,0,0.0,82.87,0.0,0.08,97741,212.48
2020-06-30,Seychelles,4.09,4,0,0.0,81,0,0.0,82.87,0.0,0.08,97741,212.48
2020-06-29,Seychelles,7.16,7,0,0.0,77,0,0.0,78.78,0.0,0.08,97741,212.48
2020-06-28,Seychelles,51.16,50,0,0.0,70,0,0.0,71.62,0.0,0.07,97741,212.48
2020-06-27,Seychelles,9.21,9,0,0.0,20,0,0.0,20.46,0.0,0.02,97741,212.48
2020-06-26,Seychelles,0.0,0,0,0.0,11,0,0.0,11.25,0.0,0.01,97741,212.48
2020-06-25,Seychelles,0.0,0,0,0.0,11,0,0.0,11.25,0.0,0.01,97741,212.48
2020-06-24,Seychelles,0.0,0,0,0.0,11,0,0.0,11.25,0.0,0.01,97741,212.48
2020-06-23,Seychelles,0.0,0,0,0.0,11,0,0.0,11.25,0.0,0.01,97741,212.48
2020-06-22,Seychelles,0.0,0,0,0.0,11,0,0.0,11.25,0.0,0.01,97741,212.48
2020-06-21,Seychelles,0.0,0,0,0.0,11,0,0.0,11.25,0.0,0.01,97741,212.48
2020-06-20,Seychelles,0.0,0,0,0.0,11,0,0.0,11.25,0.0,0.01,97741,212.48
2020-06-19,Seychelles,0.0,0,0,0.0,11,0,0.0,11.25,0.0,0.01,97741,212.48
2020-06-18,Seychelles,0.0,0,0,0.0,11,0,0.0,11.25,0.0,0.01,97741,212.48
2020-06-17,Seychelles,0.0,0,0,0.0,11,0,0.0,11.25,0.0,0.01,97741,212.48
2020-06-16,Seychelles,0.0,0,0,0.0,11,0,0.0,11.25,0.0,0.01,97741,212.48
2020-06-15,Seychelles,0.0,0,0,0.0,11,0,0.0,11.25,0.0,0.01,97741,212.48
2020-06-14,Seychelles,0.0,0,0,0.0,11,0,0.0,11.25,0.0,0.01,97741,212.48
2020-06-13,Seychelles,0.0,0,0,0.0,11,0,0.0,11.25,0.0,0.01,97741,212.48
2020-06-12,Seychelles,0.0,0,0,0.0,11,0,0.0,11.25,0.0,0.01,97741,212.48
2020-06-11,Seychelles,0.0,0,0,0.0,11,0,0.0,11.25,0.0,0.01,97741,212.48
2020-06-10,Seychelles,0.0,0,0,0.0,11,0,0.0,11.25,0.0,0.01,97741,212.48
2020-06-09,Seychelles,0.0,0,0,0.0,11,0,0.0,11.25,0.0,0.01,97741,212.48
2020-06-08,Seychelles,0.0,0,0,0.0,11,0,0.0,11.25,0.0,0.01,97741,212.48
2020-06-07,Seychelles,0.0,0,0,0.0,11,0,0.0,11.25,0.0,0.01,97741,212.48
2020-06-06,Seychelles,0.0,0,0,0.0,11,0,0.0,11.25,0.0,0.01,97741,212.48
2020-06-05,Seychelles,0.0,0,0,0.0,11,0,0.0,11.25,0.0,0.01,97741,212.48
2020-06-04,Seychelles,0.0,0,0,0.0,11,0,0.0,11.25,0.0,0.01,97741,212.48
2020-06-03,Seychelles,0.0,0,0,0.0,11,0,0.0,11.25,0.0,0.01,97741,212.48
2020-06-02,Seychelles,0.0,0,0,0.0,11,0,0.0,11.25,0.0,0.01,97741,212.48
2020-06-01,Seychelles,0.0,0,0,0.0,11,0,0.0,11.25,0.0,0.01,97741,212.48
2020-05-31,Seychelles,0.0,0,0,0.0,11,0,0.0,11.25,0.0,0.01,97741,212.48
2020-05-30,Seychelles,0.0,0,0,0.0,11,0,0.0,11.25,0.0,0.01,97741,212.48
2020-05-29,Seychelles,0.0,0,0,0.0,11,0,0.0,11.25,0.0,0.01,97741,212.48
2020-05-28,Seychelles,0.0,0,0,0.0,11,0,0.0,11.25,0.0,0.01,97741,212.48
2020-05-27,Seychelles,0.0,0,0,0.0,11,0,0.0,11.25,0.0,0.01,97741,212.48
2020-05-26,Seychelles,0.0,0,0,0.0,11,0,0.0,11.25,0.0,0.01,97741,212.48
2020-05-25,Seychelles,0.0,0,0,0.0,11,0,0.0,11.25,0.0,0.01,97741,212.48
2020-05-24,Seychelles,0.0,0,0,0.0,11,0,0.0,11.25,0.0,0.01,97741,212.48
2020-05-23,Seychelles,0.0,0,0,0.0,11,0,0.0,11.25,0.0,0.01,97741,212.48
2020-05-22,Seychelles,0.0,0,0,0.0,11,0,0.0,11.25,0.0,0.01,97741,212.48
2020-05-21,Seychelles,0.0,0,0,0.0,11,0,0.0,11.25,0.0,0.01,97741,212.48
2020-05-20,Seychelles,0.0,0,0,0.0,11,0,0.0,11.25,0.0,0.01,97741,212.48
2020-05-19,Seychelles,0.0,0,0,0.0,11,0,0.0,11.25,0.0,0.01,97741,212.48
2020-05-18,Seychelles,0.0,0,0,0.0,11,0,0.0,11.25,0.0,0.01,97741,212.48
2020-05-17,Seychelles,0.0,0,0,0.0,11,0,0.0,11.25,0.0,0.01,97741,212.48
2020-05-16,Seychelles,0.0,0,0,0.0,11,0,0.0,11.25,0.0,0.01,97741,212.48
2020-05-15,Seychelles,0.0,0,0,0.0,11,0,0.0,11.25,0.0,0.01,97741,212.48
2020-05-14,Seychelles,0.0,0,0,0.0,11,0,0.0,11.25,0.0,0.01,97741,212.48
2020-05-13,Seychelles,0.0,0,0,0.0,11,0,0.0,11.25,0.0,0.01,97741,212.48
2020-05-12,Seychelles,0.0,0,0,0.0,11,0,0.0,11.25,0.0,0.01,97741,212.48
2020-05-11,Seychelles,0.0,0,0,0.0,11,0,0.0,11.25,0.0,0.01,97741,212.48
2020-05-10,Seychelles,0.0,0,0,0.0,11,0,0.0,11.25,0.0,0.01,97741,212.48
2020-05-09,Seychelles,0.0,0,0,0.0,11,0,0.0,11.25,0.0,0.01,97741,212.48
2020-05-08,Seychelles,0.0,0,0,0.0,11,0,0.0,11.25,0.0,0.01,97741,212.48
2020-05-07,Seychelles,0.0,0,0,0.0,11,0,0.0,11.25,0.0,0.01,97741,212.48
2020-05-06,Seychelles,0.0,0,0,0.0,11,0,0.0,11.25,0.0,0.01,97741,212.48
2020-05-05,Seychelles,0.0,0,0,0.0,11,0,0.0,11.25,0.0,0.01,97741,212.48
2020-05-04,Seychelles,0.0,0,0,0.0,11,0,0.0,11.25,0.0,0.01,97741,212.48
2020-05-03,Seychelles,0.0,0,0,0.0,11,0,0.0,11.25,0.0,0.01,97741,212.48
2020-05-02,Seychelles,0.0,0,0,0.0,11,0,0.0,11.25,0.0,0.01,97741,212.48
2020-05-01,Seychelles,0.0,0,0,0.0,11,0,0.0,11.25,0.0,0.01,97741,212.48
2020-04-30,Seychelles,0.0,0,0,0.0,11,0,0.0,11.25,0.0,0.01,97741,212.48
2020-04-29,Seychelles,0.0,0,0,0.0,11,0,0.0,11.25,0.0,0.01,97741,212.48
2020-04-28,Seychelles,0.0,0,0,0.0,11,0,0.0,11.25,0.0,0.01,97741,212.48
2020-04-27,Seychelles,0.0,0,0,0.0,11,0,0.0,11.25,0.0,0.01,97741,212.48
2020-04-26,Seychelles,0.0,0,0,0.0,11,0,0.0,11.25,0.0,0.01,97741,212.48
2020-04-25,Seychelles,0.0,0,0,0.0,11,0,0.0,11.25,0.0,0.01,97741,212.48
2020-04-24,Seychelles,0.0,0,0,0.0,11,0,0.0,11.25,0.0,0.01,97741,212.48
2020-04-23,Seychelles,0.0,0,0,0.0,11,0,0.0,11.25,0.0,0.01,97741,212.48
2020-04-22,Seychelles,0.0,0,0,0.0,11,0,0.0,11.25,0.0,0.01,97741,212.48
2020-04-21,Seychelles,0.0,0,0,0.0,11,0,0.0,11.25,0.0,0.01,97741,212.48
2020-04-20,Seychelles,0.0,0,0,0.0,11,0,0.0,11.25,0.0,0.01,97741,212.48
2020-04-19,Seychelles,0.0,0,0,0.0,11,0,0.0,11.25,0.0,0.01,97741,212.48
2020-04-18,Seychelles,0.0,0,0,0.0,11,0,0.0,11.25,0.0,0.01,97741,212.48
2020-04-17,Seychelles,0.0,0,0,0.0,11,0,0.0,11.25,0.0,0.01,97741,212.48
2020-04-16,Seychelles,0.0,0,0,0.0,11,0,0.0,11.25,0.0,0.01,97741,212.48
2020-04-15,Seychelles,0.0,0,0,0.0,11,0,0.0,11.25,0.0,0.01,97741,212.48
2020-04-14,Seychelles,0.0,0,0,0.0,11,0,0.0,11.25,0.0,0.01,97741,212.48
2020-04-13,Seychelles,0.0,0,0,0.0,11,0,0.0,11.25,0.0,0.01,97741,212.48
2020-04-12,Seychelles,0.0,0,0,0.0,11,0,0.0,11.25,0.0,0.01,97741,212.48
2020-04-11,Seychelles,0.0,0,0,0.0,11,0,0.0,11.25,0.0,0.01,97741,212.48
2020-04-10,Seychelles,0.0,0,0,0.0,11,0,0.0,11.25,0.0,0.01,97741,212.48
2020-04-09,Seychelles,0.0,0,0,0.0,11,0,0.0,11.25,0.0,0.01,97741,212.48
2020-04-08,Seychelles,0.0,0,0,0.0,11,0,0.0,11.25,0.0,0.01,97741,212.48
2020-04-07,Seychelles,0.0,0,0,0.0,11,0,0.0,11.25,0.0,0.01,97741,212.48
2020-04-06,Seychelles,1.02,1,0,0.0,11,0,0.0,11.25,0.0,0.01,97741,212.48
2020-04-05,Seychelles,0.0,0,0,0.0,10,0,0.0,10.23,0.0,0.01,97741,212.48
2020-04-04,Seychelles,0.0,0,0,0.0,10,0,0.0,10.23,0.0,0.01,97741,212.48
2020-04-03,Seychelles,0.0,0,0,0.0,10,0,0.0,10.23,0.0,0.01,97741,212.48
2020-04-02,Seychelles,0.0,0,0,0.0,10,0,0.0,10.23,0.0,0.01,97741,212.48
2020-04-01,Seychelles,0.0,0,0,0.0,10,0,0.0,10.23,0.0,0.01,97741,212.48
2020-03-31,Seychelles,2.05,2,0,0.0,10,0,0.0,10.23,0.0,0.01,97741,212.48
2020-03-30,Seychelles,0.0,0,0,0.0,8,0,0.0,8.18,0.0,0.01,97741,212.48
2020-03-29,Seychelles,0.0,0,0,0.0,8,0,0.0,8.18,0.0,0.01,97741,212.48
2020-03-28,Seychelles,1.02,1,0,0.0,8,0,0.0,8.18,0.0,0.01,97741,212.48
2020-03-27,Seychelles,0.0,0,0,0.0,7,0,0.0,7.16,0.0,0.01,97741,212.48
2020-03-26,Seychelles,0.0,0,0,0.0,7,0,0.0,7.16,0.0,0.01,97741,212.48
2020-03-25,Seychelles,0.0,0,0,0.0,7,0,0.0,7.16,0.0,0.01,97741,212.48
2020-03-24,Seychelles,0.0,0,0,0.0,7,0,0.0,7.16,0.0,0.01,97741,212.48
2020-03-23,Seychelles,0.0,0,0,0.0,7,0,0.0,7.16,0.0,0.01,97741,212.48
2020-03-22,Seychelles,0.0,0,0,0.0,7,0,0.0,7.16,0.0,0.01,97741,212.48
2020-03-21,Seychelles,0.0,0,0,0.0,7,0,0.0,7.16,0.0,0.01,97741,212.48
2020-03-20,Seychelles,1.02,1,0,0.0,7,0,0.0,7.16,0.0,0.01,97741,212.48
2020-03-19,Seychelles,2.05,2,0,0.0,6,0,0.0,6.14,0.0,0.01,97741,212.48
2020-03-18,Seychelles,0.0,0,0,0.0,4,0,0.0,4.09,0.0,0.0,97741,212.48
2020-03-17,Seychelles,1.02,1,0,0.0,4,0,0.0,4.09,0.0,0.0,97741,212.48
2020-03-16,Seychelles,1.02,1,0,0.0,3,0,0.0,3.07,0.0,0.0,97741,212.48
2020-03-15,Seychelles,0.0,0,0,0.0,2,0,0.0,2.05,0.0,0.0,97741,212.48
2020-03-14,Seychelles,2.05,2,0,0.0,2,0,0.0,2.05,0.0,0.0,97741,212.48
2020-03-13,Seychelles,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,97741,212.48
2020-03-12,Seychelles,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,97741,212.48
2020-03-11,Seychelles,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,97741,212.48
2020-03-10,Seychelles,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,97741,212.48
2020-03-09,Seychelles,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,97741,212.48
2020-03-08,Seychelles,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,97741,212.48
2020-03-07,Seychelles,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,97741,212.48
2020-03-06,Seychelles,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,97741,212.48
2020-03-05,Seychelles,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,97741,212.48
2020-03-04,Seychelles,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,97741,212.48
2020-03-03,Seychelles,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,97741,212.48
2020-03-02,Seychelles,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,97741,212.48
2020-03-01,Seychelles,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,97741,212.48
2020-02-29,Seychelles,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,97741,212.48
2020-02-28,Seychelles,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,97741,212.48
2020-02-27,Seychelles,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,97741,212.48
2020-02-26,Seychelles,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,97741,212.48
2020-02-25,Seychelles,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,97741,212.48
2020-02-24,Seychelles,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,97741,212.48
2020-02-23,Seychelles,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,97741,212.48
2020-02-22,Seychelles,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,97741,212.48
2020-02-21,Seychelles,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,97741,212.48
2020-02-20,Seychelles,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,97741,212.48
2020-02-19,Seychelles,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,97741,212.48
2020-02-18,Seychelles,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,97741,212.48
2020-02-17,Seychelles,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,97741,212.48
2020-02-16,Seychelles,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,97741,212.48
2020-02-15,Seychelles,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,97741,212.48
2020-02-14,Seychelles,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,97741,212.48
2020-02-13,Seychelles,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,97741,212.48
2020-02-12,Seychelles,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,97741,212.48
2020-02-11,Seychelles,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,97741,212.48
2020-02-10,Seychelles,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,97741,212.48
2020-02-09,Seychelles,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,97741,212.48
2020-02-08,Seychelles,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,97741,212.48
2020-02-07,Seychelles,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,97741,212.48
2020-02-06,Seychelles,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,97741,212.48
2020-02-05,Seychelles,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,97741,212.48
2020-02-04,Seychelles,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,97741,212.48
2020-02-03,Seychelles,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,97741,212.48
2020-02-02,Seychelles,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,97741,212.48
2020-02-01,Seychelles,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,97741,212.48
2020-01-31,Seychelles,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,97741,212.48
2020-01-30,Seychelles,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,97741,212.48
2020-01-29,Seychelles,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,97741,212.48
2020-01-28,Seychelles,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,97741,212.48
2020-01-27,Seychelles,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,97741,212.48
2020-01-26,Seychelles,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,97741,212.48
2020-01-25,Seychelles,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,97741,212.48
2020-01-24,Seychelles,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,97741,212.48
2020-01-23,Seychelles,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,97741,212.48
2020-01-22,Seychelles,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,97741,212.48
